Gen;	BestValidFit;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	
240000;	0.0591002;	46 0.0809297 0.0598617;	41 0.0815951 0.0633752;	43 0.0816909 0.0633752;	52 0.0818646 0.0633752;	
242500;	0.0591002;	46 0.0809297 0.0598617;	41 0.0815951 0.0633752;	43 0.0816909 0.0633752;	47 0.0818646 0.0633752;	
245000;	0.0591002;	46 0.0809297 0.0598617;	41 0.0815951 0.0633752;	42 0.0816909 0.0633752;	47 0.0818646 0.0633752;	
247500;	0.0591002;	44 0.0809297 0.0598617;	49 0.0811065 0.0633752;	49 0.0814322 0.0633752;	41 0.0815951 0.0633752;	
250000;	0.0591002;	44 0.0809297 0.0598617;	50 0.0811019 0.0633752;	49 0.0811065 0.0633752;	49 0.0814322 0.0633752;	
Best: Len=60; Trn=0.0815951; Val=0.0591002; Tst=0.0584268;

2500;	0.205534;	12 0.205608 0.205534;	10 0.208467 0.209232;	18 0.210065 0.216795;	16 0.211076 0.353939;	
5000;	0.205534;	22 0.203377 0.205891;	26 0.205574 0.353939;	12 0.205608 0.205534;	15 0.205792 0.353939;	
7500;	0.205452;	23 0.20317 0.205452;	22 0.203377 0.205891;	21 0.20537 0.216795;	26 0.205574 0.353939;	
10000;	0.205452;	27 0.202327 0.205891;	23 0.20317 0.205452;	15 0.203377 0.353939;	22 0.203377 0.205891;	
12500;	0.205452;	27 0.202327 0.205891;	23 0.20317 0.205452;	15 0.203377 0.353939;	22 0.203377 0.205891;	
15000;	0.205452;	26 0.202102 0.205538;	34 0.202139 0.205891;	27 0.202327 0.205891;	23 0.20317 0.205452;	
17500;	0.205452;	26 0.202102 0.205538;	34 0.202139 0.205891;	27 0.202327 0.205891;	23 0.20317 0.205452;	
20000;	0.205452;	32 0.202056 0.20549;	26 0.202102 0.205538;	34 0.202139 0.205891;	27 0.202327 0.205891;	
22500;	0.205452;	32 0.202056 0.20549;	26 0.202102 0.205538;	34 0.202139 0.205891;	28 0.202319 0.205891;	
25000;	0.205452;	34 0.200635 0.211722;	35 0.201748 0.205891;	29 0.202056 0.205891;	26 0.202102 0.205538;	
27500;	0.184312;	41 0.182766 0.184312;	34 0.200635 0.211722;	35 0.201748 0.205891;	44 0.201831 0.205891;	
30000;	0.184312;	41 0.182766 0.184312;	34 0.200635 0.211722;	35 0.201748 0.205891;	44 0.201831 0.205891;	
32500;	0.1794;	34 0.171291 0.1794;	41 0.182766 0.184312;	37 0.195238 0.205891;	34 0.200635 0.211722;	
35000;	0.174421;	47 0.159474 0.174421;	34 0.171291 0.1794;	41 0.182766 0.184312;	37 0.195238 0.205891;	
37500;	0.174421;	47 0.159474 0.174421;	34 0.171291 0.1794;	42 0.173936 0.211722;	41 0.182766 0.184312;	
40000;	0.174421;	47 0.159474 0.174421;	34 0.171291 0.1794;	42 0.173936 0.211722;	38 0.176183 0.205534;	
42500;	0.174421;	47 0.159474 0.174421;	48 0.169798 0.205891;	34 0.171291 0.1794;	42 0.173936 0.211722;	
45000;	0.174421;	53 0.148515 0.215514;	47 0.159474 0.174421;	48 0.169798 0.205891;	34 0.171291 0.1794;	
47500;	0.174421;	53 0.148515 0.215514;	47 0.159474 0.174421;	48 0.169798 0.205891;	38 0.169798 0.184312;	
50000;	0.174421;	53 0.148515 0.215514;	52 0.15847 0.1794;	47 0.159474 0.174421;	48 0.169798 0.205891;	
52500;	0.174421;	50 0.148515 0.215514;	46 0.149064 0.205891;	49 0.156005 0.205891;	52 0.15847 0.1794;	
55000;	0.174421;	50 0.148515 0.215514;	46 0.149064 0.205891;	49 0.156005 0.205891;	52 0.15847 0.1794;	
57500;	0.174421;	45 0.148515 0.215514;	44 0.149064 0.1794;	48 0.151301 0.184312;	59 0.153198 0.205891;	
60000;	0.174421;	42 0.140275 0.207243;	51 0.141414 0.205891;	45 0.144487 0.1794;	43 0.148515 0.1794;	
62500;	0.174421;	42 0.140275 0.207243;	51 0.141414 0.205891;	44 0.141503 0.1794;	45 0.144487 0.1794;	
65000;	0.140557;	43 0.14018 0.140557;	41 0.140275 0.1794;	51 0.141414 0.205891;	44 0.141503 0.1794;	
67500;	0.140557;	43 0.14018 0.140557;	37 0.140275 0.1794;	52 0.141177 0.1794;	51 0.141414 0.205891;	
70000;	0.140557;	41 0.14018 0.140557;	37 0.140275 0.1794;	52 0.141177 0.1794;	55 0.141299 0.184312;	
72500;	0.135907;	40 0.137935 0.135907;	35 0.14018 0.1794;	37 0.140275 0.1794;	52 0.141177 0.1794;	
75000;	0.135907;	39 0.137935 0.135907;	53 0.138019 0.184312;	35 0.14018 0.1794;	50 0.14018 0.1794;	
77500;	0.135907;	50 0.136474 0.203776;	47 0.13718 0.1794;	35 0.137935 0.135907;	43 0.137935 0.1794;	
80000;	0.135907;	45 0.135794 0.197715;	50 0.136474 0.203776;	43 0.136553 0.1794;	46 0.136878 0.135907;	
82500;	0.135907;	49 0.135466 0.194483;	45 0.135794 0.197715;	41 0.136474 0.1794;	43 0.136553 0.1794;	
85000;	0.135907;	44 0.134907 0.192383;	49 0.135466 0.194483;	45 0.135794 0.197715;	41 0.136474 0.1794;	
87500;	0.135907;	43 0.134828 0.189739;	44 0.134907 0.192383;	48 0.135466 0.1794;	49 0.135543 0.1794;	
90000;	0.135907;	43 0.134828 0.189739;	41 0.134907 0.1794;	50 0.135046 0.197715;	47 0.135348 0.1794;	
92500;	0.135907;	49 0.132973 0.167468;	43 0.134828 0.189739;	40 0.134907 0.1794;	48 0.135038 0.1794;	
95000;	0.135907;	49 0.132973 0.167468;	51 0.134776 0.1794;	43 0.134828 0.189739;	40 0.134907 0.1794;	
97500;	0.135907;	48 0.132163 0.180369;	49 0.132973 0.167468;	51 0.133557 0.1794;	51 0.134776 0.1794;	
100000;	0.135907;	54 0.130723 0.173288;	58 0.131921 0.172313;	54 0.132035 0.1794;	45 0.132163 0.1794;	
102500;	0.135907;	56 0.129188 0.170361;	54 0.130723 0.173288;	50 0.130948 0.167468;	58 0.131921 0.172313;	
105000;	0.135907;	56 0.129188 0.170361;	53 0.129261 0.173288;	56 0.12997 0.172313;	54 0.130093 0.1794;	
107500;	0.135907;	56 0.129188 0.170361;	59 0.129204 0.167468;	53 0.129261 0.173288;	56 0.12997 0.172313;	
110000;	0.135907;	56 0.127407 0.164351;	55 0.127714 0.162308;	55 0.128691 0.159731;	56 0.129188 0.170361;	
112500;	0.135907;	57 0.127244 0.162321;	56 0.127407 0.164351;	57 0.127475 0.172313;	55 0.127714 0.162308;	
115000;	0.135907;	57 0.127244 0.162321;	56 0.127407 0.164351;	50 0.127475 0.162308;	55 0.127714 0.162308;	
117500;	0.135907;	54 0.127155 0.163731;	57 0.127244 0.162321;	48 0.127275 0.162308;	56 0.127407 0.164351;	
120000;	0.135907;	54 0.127155 0.163731;	50 0.127244 0.162308;	48 0.127275 0.162308;	55 0.127407 0.164351;	
122500;	0.135907;	61 0.126998 0.161676;	58 0.127155 0.162308;	54 0.127155 0.163731;	50 0.127244 0.162308;	
125000;	0.135907;	55 0.126998 0.161676;	49 0.126998 0.163731;	58 0.127155 0.162308;	54 0.127155 0.163731;	
127500;	0.135907;	51 0.126998 0.161676;	49 0.126998 0.163731;	48 0.127155 0.162308;	54 0.127155 0.163731;	
130000;	0.135907;	51 0.126998 0.161676;	49 0.126998 0.163731;	47 0.127155 0.163731;	49 0.127155 0.163731;	
132500;	0.135907;	47 0.126998 0.161676;	49 0.126998 0.163731;	52 0.127039 0.163731;	46 0.127155 0.163731;	
135000;	0.135907;	45 0.126998 0.161676;	48 0.126998 0.163731;	52 0.127039 0.163731;	44 0.127155 0.163731;	
137500;	0.135907;	44 0.126998 0.161676;	46 0.126998 0.163731;	52 0.127039 0.163731;	44 0.127155 0.163731;	
140000;	0.135907;	44 0.126998 0.161676;	46 0.126998 0.163731;	54 0.127018 0.163731;	52 0.127039 0.163731;	
142500;	0.135907;	44 0.126998 0.161676;	44 0.126998 0.163731;	54 0.127018 0.163731;	52 0.127039 0.163731;	
145000;	0.135907;	43 0.126998 0.161676;	41 0.126998 0.163731;	48 0.127018 0.163731;	51 0.127039 0.163731;	
147500;	0.135907;	41 0.126998 0.161676;	41 0.126998 0.163731;	48 0.127018 0.163731;	52 0.127018 0.163731;	
150000;	0.135907;	41 0.126998 0.161676;	38 0.126998 0.163731;	50 0.127008 0.163731;	48 0.127018 0.163731;	
152500;	0.135907;	40 0.126998 0.161676;	38 0.126998 0.163731;	50 0.127008 0.163731;	55 0.127008 0.163731;	
155000;	0.135907;	56 0.126988 0.16165;	38 0.126998 0.163731;	38 0.126998 0.163731;	50 0.127008 0.163731;	
157500;	0.135907;	56 0.126988 0.16165;	38 0.126998 0.163731;	38 0.126998 0.163731;	50 0.127008 0.163731;	
160000;	0.135907;	49 0.126958 0.161574;	56 0.126988 0.16165;	35 0.126998 0.163731;	38 0.126998 0.163731;	
162500;	0.135907;	50 0.126918 0.161473;	49 0.126958 0.161574;	49 0.126978 0.163731;	49 0.126988 0.16165;	
165000;	0.135907;	50 0.126918 0.161473;	59 0.126918 0.16165;	46 0.126958 0.16165;	57 0.126966 0.16165;	
167500;	0.135907;	45 0.126918 0.161473;	57 0.126918 0.16165;	45 0.126958 0.16165;	57 0.126966 0.16165;	
170000;	0.135907;	43 0.126918 0.161473;	50 0.126918 0.16165;	45 0.126958 0.16165;	50 0.126966 0.16165;	
172500;	0.135907;	53 0.126898 0.16137;	43 0.126918 0.161473;	46 0.126918 0.16165;	45 0.126958 0.16165;	
175000;	0.135907;	53 0.126898 0.16137;	41 0.126918 0.16165;	44 0.126918 0.16165;	49 0.126946 0.16165;	
177500;	0.135907;	48 0.126898 0.16137;	41 0.126918 0.16165;	41 0.126918 0.16165;	49 0.126946 0.16165;	
180000;	0.135907;	51 0.126898 0.16137;	48 0.126898 0.16137;	41 0.126918 0.16165;	41 0.126918 0.16165;	
182500;	0.135907;	50 0.126898 0.16137;	46 0.126898 0.16165;	41 0.126918 0.16165;	41 0.126918 0.16165;	
185000;	0.135907;	49 0.126898 0.16137;	46 0.126898 0.16165;	38 0.126918 0.16165;	41 0.126918 0.16165;	
187500;	0.135907;	47 0.126898 0.16137;	46 0.126898 0.16165;	38 0.126918 0.16165;	40 0.126918 0.16165;	
190000;	0.135907;	43 0.126898 0.16137;	44 0.126898 0.16165;	38 0.126918 0.16165;	39 0.126918 0.16165;	
192500;	0.135907;	41 0.126898 0.16137;	40 0.126898 0.16165;	47 0.126905 0.16165;	38 0.126918 0.16165;	
195000;	0.135907;	41 0.126898 0.16137;	40 0.126898 0.16165;	45 0.126905 0.16165;	39 0.126905 0.16165;	
197500;	0.135907;	40 0.126898 0.16137;	38 0.126898 0.16165;	45 0.126905 0.16165;	39 0.126905 0.16165;	
200000;	0.135907;	44 0.126896 0.161341;	40 0.126898 0.16137;	37 0.126898 0.16165;	41 0.126905 0.16165;	
202500;	0.135907;	41 0.126896 0.161341;	42 0.126896 0.161341;	40 0.126898 0.16137;	37 0.126898 0.16165;	
205000;	0.135907;	40 0.126896 0.161341;	41 0.126896 0.16165;	40 0.126898 0.16137;	37 0.126898 0.16165;	
207500;	0.135907;	39 0.126896 0.161341;	37 0.126896 0.16165;	38 0.126898 0.16165;	37 0.126898 0.16165;	
210000;	0.135907;	38 0.126896 0.161341;	37 0.126896 0.16165;	38 0.126898 0.16165;	37 0.126898 0.16165;	
212500;	0.135907;	36 0.126896 0.161341;	37 0.126896 0.16165;	37 0.126898 0.16165;	37 0.126898 0.16165;	
215000;	0.135907;	36 0.126896 0.161341;	37 0.126896 0.16165;	37 0.126898 0.16165;	37 0.126898 0.16165;	
217500;	0.135907;	35 0.126896 0.161341;	36 0.126896 0.16165;	34 0.126898 0.16165;	36 0.126898 0.16165;	
220000;	0.135907;	34 0.126896 0.161341;	32 0.126896 0.16165;	34 0.126898 0.16165;	36 0.126898 0.16165;	
222500;	0.135907;	32 0.126896 0.161341;	32 0.126896 0.16165;	34 0.126898 0.16165;	34 0.126898 0.16165;	
225000;	0.135907;	32 0.126896 0.161341;	32 0.126896 0.16165;	33 0.126898 0.16165;	34 0.126898 0.16165;	
227500;	0.135907;	32 0.126896 0.161341;	31 0.126896 0.16165;	33 0.126898 0.16165;	32 0.126898 0.16165;	
230000;	0.135907;	32 0.126896 0.161341;	31 0.126896 0.16165;	33 0.126898 0.16165;	32 0.126898 0.16165;	
232500;	0.135907;	30 0.126896 0.161341;	30 0.126896 0.16165;	31 0.126898 0.16165;	32 0.126898 0.16165;	
235000;	0.135907;	30 0.126896 0.161341;	30 0.126896 0.16165;	31 0.126898 0.16165;	32 0.126898 0.16165;	
237500;	0.135907;	29 0.126896 0.161341;	30 0.126896 0.16165;	30 0.126898 0.16165;	30 0.126898 0.16165;	
240000;	0.135907;	29 0.126896 0.161341;	28 0.126896 0.16165;	29 0.126898 0.16165;	29 0.126898 0.16165;	
242500;	0.135907;	29 0.126896 0.161341;	28 0.126896 0.16165;	29 0.126898 0.16165;	29 0.126898 0.16165;	
245000;	0.135907;	29 0.126896 0.161341;	28 0.126896 0.16165;	29 0.126898 0.16165;	29 0.126898 0.16165;	
247500;	0.135907;	29 0.126896 0.161341;	28 0.126896 0.16165;	29 0.126898 0.16165;	28 0.126898 0.16165;	
250000;	0.135907;	29 0.126896 0.161341;	27 0.126896 0.16165;	28 0.126898 0.16165;	28 0.126898 0.16165;	
Best: Len=42; Trn=0.137935; Val=0.135907; Tst=0.143208;

2500;	0.205891;	14 0.205579 0.205891;	19 0.205637 0.259481;	17 0.207957 0.353939;	11 0.208405 0.224127;	
5000;	0.205891;	24 0.203377 0.205891;	19 0.203585 0.206375;	22 0.205454 0.224127;	24 0.205578 0.205918;	
7500;	0.205451;	28 0.203126 0.205493;	24 0.203175 0.205451;	24 0.203377 0.205891;	24 0.203443 0.205891;	
10000;	0.205451;	27 0.203113 0.205933;	28 0.203126 0.205493;	24 0.203175 0.205451;	24 0.203377 0.205891;	
12500;	0.202118;	44 0.19798 0.202118;	37 0.200867 0.205451;	37 0.203057 0.205933;	41 0.203089 0.20663;	
15000;	0.202118;	44 0.19798 0.202118;	45 0.198664 0.205525;	37 0.200867 0.205451;	41 0.202327 0.224127;	
17500;	0.202118;	44 0.19798 0.202118;	45 0.198664 0.205525;	37 0.200867 0.205451;	36 0.201812 0.224127;	
20000;	0.202118;	44 0.19798 0.202118;	41 0.198343 0.224127;	45 0.198664 0.205525;	45 0.200372 0.205933;	
22500;	0.199626;	49 0.197612 0.199626;	37 0.19798 0.202118;	45 0.198199 0.205493;	41 0.198343 0.224127;	
25000;	0.199626;	49 0.197612 0.199626;	37 0.19798 0.202118;	43 0.198142 0.20663;	45 0.198199 0.205493;	
27500;	0.199626;	48 0.19758 0.199775;	49 0.197612 0.199626;	42 0.197622 0.205493;	48 0.197774 0.205451;	
30000;	0.198989;	54 0.197341 0.198989;	43 0.197472 0.199582;	49 0.197503 0.205451;	47 0.197556 0.200006;	
32500;	0.196854;	50 0.192437 0.196854;	58 0.19471 0.199775;	35 0.196875 0.197138;	54 0.197341 0.198989;	
35000;	0.196854;	50 0.192437 0.196854;	58 0.19471 0.199775;	48 0.196517 0.200006;	47 0.196746 0.200006;	
37500;	0.196854;	50 0.192437 0.196854;	58 0.19471 0.199775;	55 0.195208 0.199582;	53 0.195252 0.198989;	
40000;	0.19411;	58 0.191619 0.19411;	49 0.192405 0.197904;	50 0.192437 0.196854;	58 0.192965 0.200006;	
42500;	0.19411;	58 0.191619 0.19411;	67 0.191718 0.199775;	49 0.192405 0.197904;	50 0.192437 0.196854;	
45000;	0.191596;	56 0.187113 0.191596;	69 0.188677 0.197904;	64 0.189729 0.199775;	58 0.191619 0.19411;	
47500;	0.185641;	64 0.185778 0.185641;	56 0.187113 0.191596;	69 0.188677 0.197904;	55 0.188954 0.196854;	
50000;	0.184795;	48 0.184733 0.185866;	62 0.184929 0.184795;	63 0.185229 0.199775;	64 0.185778 0.185641;	
52500;	0.183366;	55 0.181317 0.183366;	48 0.184733 0.185866;	62 0.184929 0.184795;	53 0.185229 0.185641;	
55000;	0.183366;	54 0.180821 0.183366;	55 0.181317 0.183366;	58 0.181489 0.185866;	65 0.181491 0.184795;	
57500;	0.183062;	54 0.180261 0.183062;	54 0.180821 0.183366;	56 0.180936 0.196854;	55 0.181317 0.183366;	
60000;	0.183062;	54 0.180261 0.183062;	54 0.180821 0.183366;	56 0.180936 0.196854;	63 0.181256 0.185866;	
62500;	0.183062;	54 0.180261 0.183062;	53 0.180821 0.185866;	60 0.180915 0.185866;	56 0.180936 0.196854;	
65000;	0.183036;	57 0.180207 0.183036;	51 0.180233 0.185866;	48 0.180261 0.183062;	54 0.180813 0.185866;	
67500;	0.183036;	60 0.180087 0.183645;	57 0.180207 0.183036;	58 0.180224 0.185866;	51 0.180233 0.185866;	
70000;	0.182794;	61 0.180011 0.182794;	60 0.180087 0.183645;	57 0.180207 0.183036;	58 0.180224 0.185866;	
72500;	0.182794;	63 0.179703 0.183803;	62 0.180005 0.185012;	61 0.180011 0.182794;	60 0.180087 0.183645;	
75000;	0.182794;	63 0.179703 0.183803;	62 0.180005 0.185012;	61 0.180011 0.182794;	60 0.180087 0.183645;	
77500;	0.182794;	69 0.179655 0.185586;	63 0.179703 0.183803;	64 0.179848 0.185866;	62 0.180005 0.185012;	
80000;	0.181869;	63 0.179583 0.181869;	69 0.179655 0.185586;	63 0.179703 0.183803;	61 0.179848 0.183062;	
82500;	0.181869;	62 0.179583 0.181869;	69 0.179655 0.185586;	61 0.179703 0.185012;	61 0.179848 0.183062;	
85000;	0.181074;	65 0.17935 0.181074;	62 0.179583 0.181869;	69 0.179655 0.185586;	61 0.179703 0.185012;	
87500;	0.181074;	59 0.179116 0.18146;	65 0.17935 0.181074;	62 0.179583 0.181869;	58 0.179593 0.185586;	
90000;	0.181074;	68 0.178676 0.181257;	59 0.179116 0.18146;	68 0.179254 0.185586;	66 0.179325 0.185586;	
92500;	0.180962;	66 0.178226 0.180962;	68 0.178633 0.181509;	63 0.178634 0.181499;	64 0.178646 0.181257;	
95000;	0.180962;	66 0.178226 0.180962;	64 0.17837 0.181074;	60 0.178449 0.181257;	69 0.178478 0.181257;	
97500;	0.179256;	65 0.177678 0.184009;	70 0.177915 0.179256;	67 0.177935 0.180232;	66 0.178226 0.180962;	
100000;	0.179256;	64 0.177437 0.179581;	65 0.177678 0.184009;	70 0.177915 0.179256;	57 0.177935 0.181074;	
102500;	0.179256;	64 0.177437 0.179581;	65 0.177678 0.184009;	70 0.177915 0.179256;	57 0.177935 0.181074;	
105000;	0.179256;	61 0.177392 0.179512;	64 0.177437 0.179581;	66 0.177437 0.181074;	63 0.177678 0.181257;	
107500;	0.175926;	65 0.175657 0.175926;	61 0.177017 0.175926;	61 0.177392 0.179512;	63 0.177437 0.181257;	
110000;	0.172971;	63 0.173992 0.172971;	64 0.174719 0.181257;	63 0.175193 0.181074;	60 0.175657 0.179512;	
112500;	0.172971;	60 0.173992 0.172971;	66 0.174125 0.181257;	67 0.174125 0.181257;	59 0.17458 0.175926;	
115000;	0.171269;	62 0.172559 0.171269;	58 0.173806 0.181257;	59 0.173992 0.181257;	66 0.174125 0.181257;	
117500;	0.170959;	54 0.17189 0.170959;	63 0.172284 0.181257;	54 0.172559 0.181257;	63 0.172725 0.181257;	
120000;	0.170959;	54 0.17189 0.170959;	63 0.172284 0.181257;	60 0.17234 0.181257;	54 0.172559 0.181257;	
122500;	0.167011;	55 0.168648 0.167011;	63 0.170469 0.181257;	58 0.171864 0.181257;	53 0.17189 0.181257;	
125000;	0.166556;	65 0.164893 0.166556;	55 0.168648 0.167011;	64 0.169477 0.181257;	61 0.170037 0.181257;	
127500;	0.166556;	57 0.164893 0.166556;	59 0.167756 0.181257;	66 0.168203 0.181257;	60 0.168252 0.181257;	
130000;	0.16646;	57 0.164709 0.16646;	57 0.164893 0.166556;	56 0.167421 0.181257;	59 0.167756 0.181257;	
132500;	0.16646;	57 0.164709 0.16646;	54 0.164893 0.181257;	61 0.164897 0.181257;	59 0.165253 0.181257;	
135000;	0.166056;	66 0.163615 0.166056;	57 0.164709 0.16646;	54 0.164893 0.181257;	61 0.164897 0.181257;	
137500;	0.166056;	66 0.163615 0.166056;	69 0.163726 0.181257;	57 0.164709 0.16646;	54 0.164893 0.181257;	
140000;	0.16329;	61 0.161535 0.16329;	61 0.161555 0.181257;	66 0.163615 0.166056;	69 0.163726 0.181257;	
142500;	0.16329;	61 0.161535 0.16329;	61 0.161555 0.181257;	60 0.162518 0.166056;	63 0.163607 0.181257;	
145000;	0.16329;	61 0.161535 0.16329;	60 0.161555 0.166056;	62 0.162226 0.166056;	59 0.162435 0.181257;	
147500;	0.16329;	61 0.161535 0.16329;	60 0.161555 0.166056;	62 0.162226 0.166056;	58 0.162435 0.181257;	
150000;	0.16329;	65 0.161281 0.163683;	66 0.161347 0.163755;	61 0.161535 0.16329;	55 0.161555 0.181257;	
152500;	0.16329;	65 0.161281 0.163683;	61 0.161328 0.181257;	53 0.161347 0.181257;	64 0.161419 0.16329;	
155000;	0.16329;	63 0.161235 0.163665;	65 0.161281 0.163683;	54 0.161328 0.16329;	53 0.161347 0.181257;	
157500;	0.160637;	62 0.159119 0.160637;	52 0.160003 0.167597;	64 0.160663 0.16329;	62 0.160824 0.181257;	
160000;	0.160637;	61 0.153752 0.163258;	70 0.158248 0.181257;	62 0.159119 0.160637;	64 0.159202 0.181257;	
162500;	0.1487;	66 0.1484 0.1487;	61 0.153752 0.163258;	62 0.157031 0.16329;	70 0.158248 0.181257;	
165000;	0.1487;	66 0.1484 0.1487;	61 0.15074 0.181257;	61 0.153752 0.163258;	63 0.156918 0.160637;	
167500;	0.146092;	62 0.14401 0.146092;	66 0.1484 0.1487;	69 0.148875 0.160637;	68 0.149443 0.181257;	
170000;	0.146092;	62 0.14401 0.146092;	63 0.144055 0.160637;	68 0.144887 0.163665;	68 0.148114 0.163258;	
172500;	0.143965;	70 0.141818 0.143965;	65 0.14398 0.149865;	62 0.14401 0.146092;	63 0.144055 0.160637;	
175000;	0.143775;	68 0.141758 0.143775;	70 0.141818 0.143965;	72 0.141954 0.163665;	66 0.143083 0.1487;	
177500;	0.143775;	67 0.141671 0.143876;	65 0.141684 0.143908;	68 0.141693 0.144806;	62 0.141712 0.181257;	
180000;	0.143335;	73 0.141391 0.143335;	67 0.141671 0.143876;	65 0.141684 0.143908;	68 0.141693 0.144806;	
182500;	0.143335;	61 0.141391 0.143335;	67 0.141671 0.143876;	65 0.141684 0.143908;	68 0.141693 0.144806;	
185000;	0.143311;	64 0.141353 0.143311;	61 0.141391 0.143335;	60 0.141516 0.144806;	61 0.141551 0.143908;	
187500;	0.143311;	64 0.141353 0.143311;	60 0.141391 0.143908;	55 0.141397 0.143908;	67 0.141455 0.143908;	
190000;	0.140181;	71 0.137867 0.140181;	68 0.141121 0.1431;	65 0.141214 0.143361;	64 0.141353 0.143311;	
192500;	0.140181;	71 0.137867 0.140181;	66 0.14028 0.143908;	68 0.141121 0.1431;	65 0.141214 0.143361;	
195000;	0.140181;	71 0.137867 0.140181;	66 0.14028 0.143908;	68 0.141121 0.1431;	76 0.141178 0.143908;	
197500;	0.140181;	71 0.137867 0.140181;	71 0.140036 0.143361;	66 0.14028 0.143908;	71 0.141047 0.143908;	
200000;	0.140181;	71 0.137867 0.140181;	66 0.138536 0.143908;	69 0.139641 0.143908;	71 0.140036 0.143361;	
202500;	0.140181;	71 0.137867 0.140181;	73 0.137928 0.143361;	78 0.138097 0.143908;	71 0.138305 0.143908;	
205000;	0.139384;	67 0.136456 0.1401;	71 0.137064 0.143361;	70 0.137101 0.139384;	66 0.137331 0.140181;	
207500;	0.139384;	67 0.136456 0.1401;	76 0.136765 0.143311;	67 0.136956 0.1431;	71 0.137064 0.143361;	
210000;	0.139115;	71 0.134853 0.139115;	73 0.13567 0.1431;	75 0.136299 0.143908;	72 0.136301 0.140181;	
212500;	0.139044;	70 0.134784 0.139044;	77 0.13479 0.139046;	71 0.134853 0.139115;	68 0.135097 0.1401;	
215000;	0.137552;	71 0.134404 0.137552;	68 0.134781 0.139184;	70 0.134784 0.139044;	77 0.13479 0.139046;	
217500;	0.137552;	71 0.134404 0.137552;	73 0.134738 0.143361;	68 0.134781 0.139184;	70 0.134784 0.139044;	
220000;	0.136506;	63 0.132789 0.136506;	62 0.133171 0.143361;	70 0.13339 0.139184;	71 0.134404 0.137552;	
222500;	0.136432;	63 0.132665 0.136432;	63 0.132789 0.136506;	62 0.133171 0.143361;	70 0.13339 0.139184;	
225000;	0.120404;	70 0.118369 0.120404;	65 0.119836 0.143361;	63 0.132665 0.136432;	63 0.132789 0.136506;	
227500;	0.120404;	70 0.118369 0.120404;	65 0.119836 0.143361;	62 0.120372 0.136432;	72 0.120963 0.137552;	
230000;	0.119868;	71 0.117934 0.119868;	70 0.118369 0.120404;	67 0.118443 0.143361;	66 0.118677 0.136506;	
232500;	0.119868;	68 0.117882 0.120136;	71 0.117934 0.119868;	65 0.118343 0.143361;	70 0.118369 0.120404;	
235000;	0.118298;	71 0.116631 0.118298;	69 0.117227 0.120404;	68 0.117416 0.136432;	70 0.117697 0.143908;	
237500;	0.118298;	71 0.116631 0.118298;	71 0.116734 0.119868;	68 0.117023 0.136432;	69 0.117227 0.120404;	
240000;	0.118159;	62 0.116522 0.118159;	71 0.116631 0.118298;	78 0.116671 0.119868;	77 0.116671 0.143361;	
242500;	0.118159;	62 0.116522 0.118159;	71 0.116631 0.118298;	72 0.116646 0.136432;	78 0.116671 0.119868;	
245000;	0.118159;	62 0.116522 0.118159;	71 0.116631 0.118298;	72 0.116646 0.136432;	63 0.116652 0.1431;	
247500;	0.109707;	70 0.108278 0.109707;	69 0.113768 0.1431;	71 0.115318 0.118298;	71 0.116333 0.124964;	
250000;	0.109707;	70 0.108278 0.109707;	77 0.112214 0.124964;	81 0.113042 0.118159;	72 0.113161 0.143361;	
Best: Len=70; Trn=0.108278; Val=0.109707; Tst=0.108707;

2500;	0.207629;	22 0.205384 0.207629;	20 0.210031 0.210731;	17 0.212282 0.239402;	14 0.212509 0.214543;	
5000;	0.207629;	24 0.205313 0.208998;	16 0.205384 0.207629;	26 0.205566 0.214543;	18 0.205575 0.210731;	
7500;	0.205891;	20 0.203377 0.205891;	19 0.203377 0.210731;	24 0.204957 0.214543;	24 0.205313 0.208998;	
10000;	0.205812;	24 0.202289 0.205812;	20 0.203377 0.205891;	19 0.203377 0.210731;	24 0.204957 0.214543;	
12500;	0.205812;	24 0.202289 0.205812;	26 0.202327 0.207629;	20 0.203377 0.205891;	19 0.203377 0.210731;	
15000;	0.179355;	33 0.171424 0.179355;	31 0.200899 0.208998;	26 0.202062 0.210731;	24 0.202289 0.205812;	
17500;	0.179355;	33 0.171424 0.179355;	36 0.187908 0.207629;	31 0.200899 0.208998;	26 0.202062 0.210731;	
20000;	0.179355;	33 0.171424 0.179355;	36 0.187908 0.207629;	34 0.198968 0.205891;	31 0.200899 0.208998;	
22500;	0.179355;	29 0.170837 0.205089;	33 0.171424 0.179355;	33 0.186135 0.205812;	32 0.187625 0.208998;	
25000;	0.179355;	29 0.170837 0.205089;	33 0.171424 0.179355;	41 0.174648 0.214543;	36 0.176667 0.208998;	
27500;	0.179355;	42 0.169386 0.189808;	29 0.170837 0.205089;	30 0.171424 0.208998;	41 0.174648 0.214543;	
30000;	0.179355;	32 0.144997 0.221738;	33 0.168952 0.214543;	42 0.169386 0.189808;	29 0.170837 0.205089;	
32500;	0.179355;	32 0.144997 0.221738;	49 0.153368 0.208998;	35 0.163725 0.208998;	33 0.168952 0.214543;	
